@relation papers-doc-topics-weka

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric

@data
0.018182,0.018182,0.018182,0.2,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.2,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.109091,0.018182,0.018182,0.018182
0.013333,0.013333,0.013333,0.28,0.013333,0.146667,0.013333,0.013333,0.013333,0.08,0.013333,0.013333,0.08,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.08,0.08
0.011765,0.011765,0.011765,0.011765,0.070588,0.011765,0.011765,0.011765,0.011765,0.011765,0.129412,0.011765,0.070588,0.011765,0.011765,0.070588,0.247059,0.011765,0.129412,0.011765,0.011765,0.011765,0.070588,0.011765,0.011765
0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.109091,0.018182,0.109091,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.018182,0.018182,0.018182,0.2,0.018182
0.016667,0.266667,0.016667,0.016667,0.016667,0.016667,0.1,0.016667,0.016667,0.183333,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.1,0.016667,0.016667,0.016667
0.075,0.0125,0.0125,0.075,0.0125,0.0125,0.0125,0.0125,0.075,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.075,0.0125,0.0125,0.1375,0.0125,0.325,0.0125,0.0125
0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.3,0.014286,0.157143,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286
0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.323077,0.015385,0.092308,0.015385,0.015385,0.015385,0.169231,0.015385,0.015385,0.092308,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385
0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.157143,0.014286,0.157143,0.014286,0.014286,0.157143,0.014286,0.014286,0.157143,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286
0.014286,0.157143,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.085714,0.3,0.014286,0.014286,0.014286
0.146667,0.013333,0.08,0.013333,0.08,0.08,0.013333,0.013333,0.08,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.213333,0.08,0.013333,0.013333,0.013333,0.013333,0.013333
0.016667,0.016667,0.183333,0.016667,0.016667,0.1,0.016667,0.1,0.016667,0.016667,0.1,0.016667,0.016667,0.016667,0.183333,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667
0.016667,0.016667,0.016667,0.016667,0.266667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.183333,0.016667,0.1,0.1,0.016667,0.016667,0.016667
0.014286,0.014286,0.085714,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.085714,0.085714,0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.228571
0.01,0.06,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.06,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.16,0.11
0.011111,0.177778,0.011111,0.011111,0.011111,0.066667,0.066667,0.011111,0.122222,0.011111,0.011111,0.011111,0.011111,0.011111,0.122222,0.122222,0.066667,0.066667,0.011111,0.011111,0.011111,0.011111,0.011111,0.011111,0.011111
0.171429,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.171429,0.028571,0.028571,0.028571,0.028571,0.028571
0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.171429,0.028571,0.028571,0.028571,0.028571,0.171429,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571,0.028571
0.133333,0.022222,0.022222,0.022222,0.133333,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.244444,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222
