@relation 'papers-doc-topics-weka-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data

0.018182,0.018182,0.018182,0.2,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.2,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.109091,0.018182,0.018182,0.018182,cluster3
0.013333,0.013333,0.013333,0.28,0.013333,0.146667,0.013333,0.013333,0.013333,0.08,0.013333,0.013333,0.08,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.013333,0.08,0.08,cluster8
0.011765,0.011765,0.011765,0.011765,0.070588,0.011765,0.011765,0.011765,0.011765,0.011765,0.129412,0.011765,0.070588,0.011765,0.011765,0.070588,0.247059,0.011765,0.129412,0.011765,0.011765,0.011765,0.070588,0.011765,0.011765,cluster7
0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.109091,0.018182,0.109091,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.018182,0.109091,0.018182,0.018182,0.018182,0.2,0.018182,cluster9
0.016667,0.266667,0.016667,0.016667,0.016667,0.016667,0.1,0.016667,0.016667,0.183333,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.016667,0.1,0.016667,0.016667,0.016667,cluster1
0.075,0.0125,0.0125,0.075,0.0125,0.0125,0.0125,0.0125,0.075,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.075,0.0125,0.0125,0.1375,0.0125,0.325,0.0125,0.0125,cluster2
0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.3,0.014286,0.157143,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,cluster10
0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,0.323077,0.015385,0.092308,0.015385,0.015385,0.015385,0.169231,0.015385,0.015385,0.092308,0.015385,0.015385,0.015385,0.015385,0.015385,0.015385,cluster3
0.014286,0.014286,0.014286,0.014286,0.014286,0.014286,0.157143,0.014286,0.157143,0.014286,0.014286,0.157143,0.014286,0.014286,0.157143,0.014286,0.014286,0.014286,0.014286,0.014286,0.085714,0.014286,0.014286,0.014286,0.014286,cluster3
