"Source","Target","Type"
Abby.Goodrum,Gerald.Penn,Undirected
Abby.Goodrum,Samuel.Trosow,Undirected
Abby.Goodrum,Barry.Wellman,Undirected
Abby.Goodrum,Jacquelyn.Burkell,Undirected
Abby.Goodrum,Luanne.Freund,Undirected
Abby.Goodrum,Jian.Pei,Undirected
Abby.Goodrum,Jeremy.Hunsinger,Undirected
Abby.Goodrum,Andrew.Herman,Undirected
Alissa.Antle,Bill.Kapralos,Undirected
Alissa.Antle,Jason.Nolan,Undirected
Alissa.Antle,Bernhard.Riecke,Undirected
Alissa.Antle,Kate.Hennessy,Undirected
Alissa.Antle,John.Robinson,Undirected
Alissa.Antle,Carman.Neustaedter,Undirected
Alissa.Antle,Sara.Grimes,Undirected
Alla.Sheffer,Richard.Zhang,Undirected
Anatoliy.Gruzd,Diana.Mok,Undirected
Anatoliy.Gruzd,Anabel.Quan-Haase,Undirected
Anatoliy.Gruzd,GuangYing.Mo,Undirected
Anatoliy.Gruzd,Zack.Hayat,Undirected
Anatoliy.Gruzd,Caroline.Haythornthwaite,Undirected
Barry.Wellman,Anatoliy.Gruzd,Undirected
Barry.Wellman,Rhonda.Mcewen,Undirected
Bart.Simon,Samuel.Trosow,Undirected
Bart.Simon,Ron.Wakkary,Undirected
Bart.Simon,Jim.Bizzocchi,Undirected
Bart.Simon,Jacquelyn.Burkell,Undirected
Bart.Simon,Jason.Camlot,Undirected
Bart.Simon,Sean.Gouglas,Undirected
Bart.Simon,Brian.Greenspan,Undirected
Bart.Simon,Jason.Lewis,Undirected
Bart.Simon,Lisa.Lynch,Undirected
Bart.Simon,Sudhir.Mudur,Undirected
Bart.Simon,XinWei.Sha,Undirected
Bart.Simon,Emma.Westecott,Undirected
Bart.Simon,Heather.Kelley,Undirected
Bart.Simon,Owen.Livermore,Undirected
Bart.Simon,Adrian.Freed,Undirected
Bart.Simon,Josh.Tanenbaum,Undirected
Bart.Simon,Shannon.Lucky,Undirected
Bart.Simon,Cindy.Poremba,Undirected
Brian.Greenspan,Anabel.Quan-Haase,Undirected
Brian.Greenspan,William.Robinson,Undirected
Brian.Greenspan,Vicki.Moulder,Undirected
Brian.Greenspan,Carolyn.Jong,Undirected
