"Nodes","Id","Discipline","University","Title","Gender"
"Abby.Goodrum","Abby.Goodrum","Other","Wilfrid Laurier University","VP Research","Female"
"Alexandra.Fedorova","Alexandra.Fedorova","Computer Science","Simon Fraser University","Associate Professor","Unknown"
"Alissa.Antle","Alissa.Antle","Media, Arts & Design","Simon Fraser University","Associate Professor","Unknown"
"Alla.Sheffer","Alla.Sheffer","Computer Science","University of British Columbia","Associate Professor","Unknown"
"Anatoliy.Gruzd","Anatoliy.Gruzd","Information Science","Dalhousie University","Associate Professor","Male"
"Barry.Wellman","Barry.Wellman","Other Social Sciences & Humanities","University of Toronto","Professor","Unknown"
"Bart.Simon","Bart.Simon","Other Social Sciences & Humanities","Concordia University","Associate Professor","Unknown"
"Brian.Greenspan","Brian.Greenspan","Other Social Sciences & Humanities","Carleton University","Associate Professor","Unknown"
"Brian.Wyvill","Brian.Wyvill","Computer Science","University of Victoria","Professor","Unknown"
"Carl.Gutwin","Carl.Gutwin","Computer Science","University of Saskatchewan","Professor","Unknown"
"Catherine.Middleton","Catherine.Middleton","Information Science","Ryerson University","Professor","Female"
"Charles.Clarke","Charles.Clarke","Computer Science","University of Waterloo","Professor","Male"
"Chris.Shaw","Chris.Shaw","Media, Arts & Design","Simon Fraser University","Associate Professor","Unknown"
"Cristina.Conati","Cristina.Conati","Computer Science","University of British Columbia","Associate Professor","Female"
"David.Mould","David.Mould","Computer Science","Carleton University","Associate Professor","Unknown"
"Deborah.Fels","Deborah.Fels","Information Science","Ryerson University","Professor","Unknown"
"Diane.Gromala","Diane.Gromala","Media, Arts & Design","Simon Fraser University","Professor","Unknown"
"Duane.Szafron","Duane.Szafron","Computer Science","University of Alberta","Professor","Male"
"Edward.Lank","Edward.Lank","Computer Science","University of Waterloo","Associate Professor","Unknown"
"Eleni.Stroulia","Eleni.Stroulia","Computer Science","University of Alberta","Professor","Female"
"Eugene.Fiume","Eugene.Fiume","Computer Science","University of Toronto","Professor","Unknown"
"Faramarz.Samavati","Faramarz.Samavati","Computer Science","University of Calgary","Professor","Male"
"Geoffrey.Rockwell","Geoffrey.Rockwell","Other Social Sciences & Humanities","University of Alberta","Professor","Male"
"Gerald.Penn","Gerald.Penn","Computer Science","University of Toronto","Professor","Male"
"Jacquelyn.Burkell","Jacquelyn.Burkell","Information Science","University of Western Ontario","Associate Professor","Unknown"
"Jennifer.Jenson","Jennifer.Jenson","Other Social Sciences & Humanities","York University","Professor","Female"
"Jeremy.Cooperstock","Jeremy.Cooperstock","Other Sciences & Engineering","McGill University","Professor","Unknown"
