Aaron Hertzmann,University of Toronto,29-Apr-10,Acknowledgement_NI_AaronHertzmann
Abby Goodrum,Ryerson University,18-Mar-10,Acknowledgement_NI_AbbyGoodrum
Alan Kingstone,University of British Columbia,05-May-10,Acknowledgement_NI_AlanKingstone
Alexandra Fedorova,Simon Fraser University,11-Mar-10,Acknowledgement_NI_AlexandraFedorova
Alissa Antle,Simon Fraser University,30-Apr-10,Acknowledgement_NI_AlissaAntle
Alla Sheffer,University of British Columbia,10-Jun-10,Acknowledgement_NI_AllaSheffer
Amy Gooch,University of Victoria,01-May-10,Acknowledgement_NI_AmyGooch
Anabel Quan-Haase,University of Western Ontario,27-Sep-10,Acknowledgement_NI_AnabelQuan-Haase
Anatoliy Gruzd,Dalhousie University,30-Mar-10,Acknowledgement_NI_AnatoliyGruzd
Andrea Bunt,University of Manitoba,07-Jun-10,Acknowledgement_NI_AndreaBunt
Barbara Crow,York University,07-May-10,Acknowledgement_NI_BarbaraCrow
Barry Wellman,University of Toronto,01-Apr-10,Acknowledgement_NI_BarryWellman
Bart Simon,Concordia University,29-Mar-10,Acknowledgement_NI_BartSimon
Ben Youssef,Simon Fraser University,11-May-10,Acknowledgement_NI_BenYoussef
Bernhard Riecke,Simon Fraser University,06-Dec-10,Acknowledgement_NI_BernhardRiecke
Bill Kapralos,University of Ontario Institute of Technology,25-Aug-10,Acknowledgement_NI_BillKapralos
Bill Leeming,OCAD University,05-May-10,Acknowledgement_NI_BillLeeming
Brian Greenspan,Carleton University,25-May-10,Acknowledgement_NI_BrianGreenspan
Brian Wyvill,University of Victoria,14-Apr-10,Acknowledgement_NI_BrianWyvill
Bruce Gooch,University of Victoria,30-Apr-10,Acknowledgement_NI_BruceGooch
Carl Gutwin,University of Saskatchewan,15-Mar-10,Acknowledgement_NI_CarlGutwin
Carman Neustaedter,Simon Fraser University,15-Apr-11,Acknowledgement_NI_CarmanNeustaedter
Catherine Middleton,Ryerson University,16-Mar-10,Acknowledgement_NI_CatherineMiddleton
Charles Clarke,University of Waterloo,31-Mar-10,Acknowledgement_NI_CharlesClarke
Chris Shaw,Simon Fraser University,10-Apr-10,Acknowledgement_NI_ChristopherShaw
Craig Kaplan,University of Waterloo,08-May-10,Acknowledgement_NI_CraigKaplan
Cristina Conati,University of British Columbia,24-Mar-10,Acknowledgement_NI_CristinaConati
