PRESENTATION_ID,TITLE,GRAND PROJECT
AVID.pptx,AVID 2MM,AVID
BELIEVE2.pptx,BELIEVE2 2MM,BELIEVE2
CHRONIC.pptx,CHRONIC 2MM,CHRONIC
CONNECT.mov,CONNECT 2MM,CONNECT
CREATE.pptx,CREATE 2MM,CREATE
DATUM.pptx,DATUM 2MM,DATUM
DIGHUM.pptx,DIGHUM 2MM,DIGHUM
ENGAGE.pptx,ENGAGE 2MM,ENGAGE
EXPERT.pptx,EXPERT 2MM,EXPERT
G4HLTH.pptx,G4HLTH 2MM,G4HLTH
HLTHSIM2.pptx,HLTHSIM2 2MM,HLTHSIM2
IIDEMS.pptx,IIDEMS 2MM,IIDEMS
INCLUDE2.pptx,INCLUDE2 2MM,INCLUDE2
INDIEGAME.pptx,INDIEGAME 2MM,INDIEGAME
KIDZ.pptx,KIDZ 2MM,KIDZ
KNOW.pptx,KNOW 2MM,KNOW
NEWS2.pptx,NEWS2 2MM,NEWS2
NMSL.pptx,NMSL 2MM,NMSL
PLATFORM2.pptx,PLATFORM2 2MM,PLATFORM2
PROTECT.pptx,PROTECT 2MM,PROTECT
SENSE-I.mov,SENSE-I 2MM,SENSE-I
SHREXP.pptx,SHREXP 2MM,SHREXP
SYNTHIUS.pptx,SYNTHIUS 2MM,SYNTHIUS
