Presentation_ID,Title,Author,Project Acronym,Type
PD104.pdf,Doing what matters: designing a mobile app for emotional wellbeing,"Marjan Verstappen",CPRM,Poster
PD105.pdf,Fetal Alcohol Spectrum Disorder; disseminating research through metaphors and new digital pedagogies,"Tim Bettridge",VSS,Poster
PD106.pdf,Evidence-based Virtual Reality for Chronic Pain Management: Preliminary Results,"Mehdi Karamnejad",CPRM,Poster
PD107.pdf,Guess Who - Adding Emotion to Video Game Characters,"Neesha Desai",BELIEVE,Poster
PD108.pdf,ScriptEase II: Script Generation for Multiple Game Engines,"Zak Turchansky",BELIEVE,Poster
PD110.pdf,Computational Fluid Dynamic Cellular Discrete-Event Simulation of Coronary Heart Disease,"Sixuan Wang",ENCAD,Poster
PD111.pdf,The Performance of Un-Instrumented In-Air Pointing,"Michelle Brown",SHRDSP,Poster
PD112.pdf,The Effect of Online Commenting on the Perception of News Stories,"Jessica Thom",NEWS,Poster
PD113.pdf,Tangra: Defining and Supporting Online Studies And Randomized Controlled Trials,"Velian Pandeliev",GAMFIT,Poster
PD114.pdf,NEWS AUTHENTICATION: Detecting Digital Deception and Deliberate Misinformation in News Stories,"Yimin Chen",NEWS,Poster
PD115.pdf,Providing Adaptive Support by Mining User Behavior Patterns in an Open-Ended Simulation,"Samad Kardan",SIMUL,Poster
PD116.pdf,"Big Data, Cloud Computing, and the Law","Lisa Macklem",DINS,Poster
PD119.pdf,"Golden Days, Silver Nights: Designing an Abducted Reality Game","Sarah Thorne",PLAYPR,Poster
PD120.pdf,Visualizations to Teach about Mobile Online Privacy,"Leah Zhang",PRIVNM,Poster
PD121.pdf,An analysis of sharing and reusing of personalizations in personalizable tools,"Mona Haraty",PERUI,Poster
PD122.pdf,Campus Mood: Visualizing Twitter Sentiment On Large Interactive Displays,"Diane Watson",AFEVAL,Poster
PD123.pdf,Wheelchair Revolution: Balancing Motion-Based Games for Players With Mobility Disabilities,"Kathrin Gerling",GAMFIT,Poster
PD124.pdf,Bridging the Gap: Video Games for Remote Diagnosis and Treatment of Affective Disorders,"Max Birk",AFEVAL,Poster
PD125.pdf,Gromala´s Wearable Weather System,"Xin Tong",VSS,Poster
PD126.pdf,Collaboration and conversation analysis to inform the design of Groupware systems,"Naill Conroy",NEWS,Poster
PD127.pdf,Measuring and perceiving loudness. A natural sounds account.,"Francesco Tordini",HSCEG,Poster
PD129.pdf,Can I See That? An Evaluation of Line of Sight Visualization Techniques on an Interactive Map,"Matthew Oskamp",SIMUL,Poster
PD130.pdf,Older and younger adults´ perceptions of online risk,"Vanessa Boothroyd",PRIVNM,Poster
PD131.pdf,Motion Focus,"Michael MacDonald",VIRTPRES,Poster
