Done counting NON-GRAND Authors

"Name","Count","Similar"
"Adam Dubrowski","21",""
"Andrew Hogue","16",""
"Miguel Nacenta","13",""
"Karen Collins","12",""
"Matei Ripeanu","12",""
"Ehud Sharlin","10",""
"Cosmin Munteanu","10",""
"Hootan Nakhost","9",""
"David Eagle","9",""
"Tim Wilson","9",""
"Gordon Wetzstein","9",""
"Sayra Cristancho","8",""
"Junia Anacleto","8",""
"Kibum Kim","8",""
"Tejinder Judge","8",""
"Ramesh Raskar","8",""
"Rodger Lea","7",""
"Bongshin Lee","7",""
"Anne Townsend","7",""
"Junko Ichino","7",""
"Xiaodan Zhu","7",""
"John Bolton","7",""
"Kevin Leyton-Brown","7",""
"Mirette Marzouk","6",""
"Mathieu Bouchard","6","Matthew Bouchard"
"M  Pourazad","6",""
"Anders Drachen","6",""
"Yashar Ganjali","6",""
"Miltos Tsiantis","6",""
"Paul Adam","6",""
"John Dill","6",""
"Mark Smucker","5",""
"Yon Visell","5",""
"Geoffrey Hinton","5",""
"Edie Rasmussen","5",""
"Peter Graf","5",""
"Uta Hinrichs","5",""
"Nicolas d","5",""
"Allyson Jones","5",""
"Eric Lee","5",""
"Dustin Dunsmuir","5",""
"Sebastian Boring","5",""
"Jeffrey Cheung","5",""
"Maureen Stone","5",""
"Kevin Kee","5",""
"Catherine Backman","5",""
"Claudia Jacova","5",""
"Andreas Sotirakopoulos","5",""
"Yang Li","5",""
"Z  Mai","5",""
"Qi Liu","5",""
"Mina Tawadrous","5",""
"Marian Doerk","5",""
"Jeremy Long","5",""
"Brodie Stanfield","4",""
"Andrew Woo","4",""
"Bill Buxton","4",""
"Gitte Lindgaard","4",""
"Lee Rainie","4",""
"John Brosz","4",""
"Mike Blackstock","4",""
"Mathias Paulin","4",""
"C  Doutre","4",""
"James Drake","4",""
"Timothy Wilson","4",""
"Rilla Khaled","4",""
"Katherine Isbister","4",""
"Tiberiu Popa","4",""
"Gabriel A  Wainer","4","Gabriel Wainer"
"Sam Ladner","4",""
"Leonid Sigal","4",""
"Claire Dormann","4",""
"Fuad Moussa","4",""
"Jonathan Haber","4","Jonathan Salter"
"Nathan Carr","4",""
"Yoshifumi Kitamura","4",""
"Anthony Estey","4",""
"Cheryl Qian","4",""
"J. Vassileva","4",""
"Rafal Mantiuk","4",""
"Philip Quinn","4",""
"Jocelyn Houle","4",""
"Ed Colgate","4",""
"Philippe Pasquier","4",""
"K  Leyton-Brown","4",""
"Elvis Chen","4",""
"Petra Isenberg","4",""
"Loïc Barthe","4",""
"Marie-Paule Cani","4",""
"kevin leyton-brown","4",""
"George Dahl","4",""
"Dan Dixon","3",""
"Mona Erfani","3",""
"Andrew Brownsword","3",""
"Allison Ezzat","3",""
"Damien Rohmer","3",""
"Mario Costa Sousa","3",""
"Alessandro Saetti","3",""
"Cheryl Lau","3",""
"Richard Compton","3",""
"Piper Gordon","3",""
"Rachelle Campigotto","3",""
"A  Dubrowski","3",""
"H  Nakhost","3",""
"Sydney Brooks","3",""
"Li Ji","3",""
"Steve Gibson","3",""
"Cynthia Girling","3",""
"Steven Greenspan","3",""
"Mauro Vallati","3",""
"Y  Visell","3",""
"Elise Vist","3",""
"Malte Helmert","3",""
"Erez Karpas","3",""
"Xiang","3",""
"Mutasem Barjawi","3",""
"Matthias Hullin","3",""
"Nathalie Henry Riche","3",""
"Nicholas Marchuk","3",""
"Chris Bateman","3",""
"Michael Blackstock","3",""
"Michael Peshkin","3","Michael Keshen"
"Dan Johnson","3",""
"Takayuki Tsukitani","3",""
"Pawel Kuras","3",""
"M. Benovoy","3",""
"Alan Bandurka","3",""
"Parnian Alimi","3",""
"Elaine Greidanus","3",""
"Jun Wang","3",""
"Elizabeth Badley","3",""
"Cody Robson","3",""
"Fahimeh Raja","3",""
"Amy A. Gooch","3","Amy Gooch"
"Hao Zhang","3","Xiao Zhang"
"Alan K. Mackworth","3",""
"Jagoda Walny","3",""
"M.H. Shirali-Shahreza","3",""
"Darcy Fehlings","3",""
"Paul Strohmeier","3",""
"Frederic Boudon","3","Frederic Bouin"
"Robert Lederer","3",""
"Manas Modi","3",""
"Yukari Seko","3",""
"Huaxin Wei","3",""
"Muhammad Mahmoud","3",""
"Carey Williamson","3","Cary Williams"
"Cheryl Sadowski","3",""
"Gabriele Röger","3",""
"Jay Baxter","3",""
"Elaine Yacyshyn","3",""
"Pascal van Lieshout","3",""
"Adam Fiser","3",""
"Lisa Guirguis","3",""
"Chris Wedlake","3",""
"Sebastian Deterding","3",""
"Pawel Gburzynski","3",""
"Nicholas M. Boers","3",""
"Steve Harrison","3",""
"Timothy W. Luke","3",""
"Diane Lacaille","3",""
"Jendrik Seipp","3",""
"Jianzhao Huang","3",""
"Dima Dimitrova","3","Dimitrina Dimitrova"
"Bernie Hogan","3",""
"Qi Zhang","3",""
"Lili Liu","3",""
"Paul van Oorschot","3",""
"Alyssa Wise","3",""
"M  Blackstock","2",""
"Isola Ajiferuke","2",""
"Yotam Mann","2",""
"William Wang","2",""
"A. Law","2",""
"Gokhan H  Himmetoglu","2",""
"Matt Olson","2",""
"Logan Gilmour","2",""
"Margaret-Anne Storey","2",""
"Irina Schumann","2",""
"Seth C Lewis","2",""
"Line Grenier","2",""
"Ramsay Dyer","2",""
"RECAA","2",""
"Jih-Shiang Chang","2",""
"Doug Wightman","2",""
"Nima Kaviani","2",""
"Dereck Toker","2",""
"AJung Moon","2",""
"Matthias Finke","2",""
"Y. Visell","2",""
"Christopher Zerebecki","2",""
"Jansen Koh","2",""
"M  Otis","2",""
"D  Jaffray","2",""
"François Routhier","2",""
"Sylvain Malacria","2",""
"RAPLIQ","2",""
"Patrick Boissy","2",""
"L  Coria","2",""
"Ken Jackson","2",""
"Amir Afrah","2",""
"Dongwoon Lee","2",""
"Nahid Norouzi-Gheidari","2",""
"Ahmed Sayed Ahmed","2",""
"Carlos Castellanos","2",""
"Sara Motiee","2",""
"Ezequiel Glinsky","2",""
"Giuseppe Carenini","2",""
"Kaleem Siddiqi","2",""
"Sven Dickinson","2","Evan Dickinson"
"Diego Macrini","2",""
"Rodrigo Zamith","2",""
"Ke Wang","2",""
"Elizabeth Godo","2",""
"Philip S  Yu","2",""
"Christophe Godin","2",""
"Mitra Shirmohammadi","2",""
"Lei Zhang","2","Leah Zhang"
"Ben Steichen","2",""
"Graham McAllister","2",""
"Stelian Coros","2",""
"Matthew Trentacoste","2",""
"Douglas Lanman","2",""
"Matthew K X J  Pan","2",""
"Nick Craswell","2",""
"Lynne Feehan","2",""
"I  Tsirlin","2",""
"Anil Somayaji","2",""
"George Tzanetakis","2",""
"Simon Silk","2",""
"Maria Velez-Rojas","2",""
"Ashraf Matrawy","2",""
"Nick Graham","2",""
"Andrew Park","2",""
"Serge Egelman","2",""
"Charlene Yousefi","2",""
"Dawn Stacey","2",""
"Christian Grossauer","2",""
"H  Mansour","2",""
"Deb Ptak","2",""
"M Ilich","2",""
"Alfonso E. Gerevini","2",""
"Brian Dupuis","2",""
"Jonathan Calver","2","Jonathan Salter"
"Ryan Schmidt","2",""
"Colton Hash","2",""
"Danielle Lubyk","2",""
"Alexander Levy","2",""
"Marcia Spetch","2",""
"Yen Le","2",""
"Krzysztof Gajos","2",""
"Katharina Reinecke","2",""
"Florian Grond","2",""
"Jolanda Cibere","2",""
"Jens Wolling","2",""
"H  Saadawi","2",""
"Colleen Maloney","2",""
"Cheryl Koehn","2",""
"Dhrubajyoti Goswami","2",""
"Elizabeth A  Croft","2",""
