"SHORT NAME","FULL NAME","TYPE","FOR SUB-PROJECTS: 
RELATED FULL LOI(S)","FOR FULL PROJECTS:
RELATED SUB LOI(S)","PUBLIC DESCRIPTION","LEAD","CO-LEAD","CHAMPION","PRIMARY CHALLENGE","SECONDARY CHALLENGE","LOI FILE","SUPPLEMENTAL"
"ARSURG","Augmented Reality and Visual Enhancements for Surgical 
Guidance and Assessment","Full Project","N/A",,"New technologies have enabled surgeons to do minimally invasive procedures, but the 
approaches' and trajectories' planning is still done on images displayed on 2D planes, necessitating complex mental transformations. Innovative Graphic methods should enable the development of Augmented Reality displays superimposing anatomical and guidance information directly on the patient in the surgical field;  VR planning could be brought to the OR and displayed using AR, therefore minimizing the risk of surgical errors.","Sandrine de Ribaupierre
UWO",,"Andrew Parrent
Neurosurgeon,
London Health Sciences Centre","Healthcare","Learning","ARSURG.pdf",
"AVID","Aesthetics, Visualization, Interaction, and Design","Full Project","N/A",,"As we move toward data-driven society, daily decisions are increasingly informed by 
engagement with technology, especially visualization. Moving beyond utilitarian concerns of efficiency and usability, this project will investigate aesthetics and generate new attractive and appealing ways to visualize and work with data.  Drawing on a variety of aesthetic traditions to re-imagine the interface between people and technology, the results will enable Canadians to be more imaginative, innovative, and connected.","Christopher Collins
UOIT","Mark Hancock
University of Waterloo","Andrew McCann
CTO,
deviantART, Inc. ","Big Data","Entertainment
Learning
Healthcare
Sustainability 
Work
Citizenship","AVID.pdf",
"BELIEVE2","Believable Characters and Stories in Computer Games","Full Project","N/A",,"Our goal is to enable designers to create more believable scenarios and to create virtual 
characters that exhibit more believable behaviours in virtual worlds. Virtual worlds include video games, simulations, training and treatment environments. The quality of scenarios and virtual character behaviours has a huge impact on the quality of the user experience, when there is high reliance on avatar-virtual character interactions such as story-based games, or simulations / training / treatments that are based on relationships.","Duane Szafron
University of Alberta","David Mould
Carleton University ","TBD
Bioware","Entertainment
","Learning
Healthcare
Sustainability 
Big Data
Citizenship","BELIEVE2.pdf",
"BIG","The Big Information Group","Full Project","N/A","TRUST","The BIG information group focuses on the challenges of large-scale information access for new 
media, including search, summarization, analysis and use.  We work in specific government, education, business, and health domains, developing and assessing novel solutions to information access in different forms.  ","Luanne Freund
University of British Columbia","Charlie Clare
University of Waterloo","TBD
Google","Big Data","Learning
Healthcare
Work
Citizenship","BIG.pdf",
"BUSY","Buildings/ users, sustainability and systems","Full Project","N/A",,"See supplemental ","Lyn Bartram
Simon Fraser University ","Melanie Tory
University of Victoria","Jim Nelson
Senior Manager of Marketing,
BC Hydro PowerSmart","Sustainability
","Learning
Healthcare
Big Data
Work","BUSY.pdf",
"COGS","Collaboration over Game Systems","Full Project","N/A",,"People spend a significant amount of time playing social games. The challenge we address in this project is: How can we leverage the motivational pull of social games to shape the world? In particular, how can we make better social games and make social games better in order to connect people, empower individuals, crowdsource work, and generate revenue? We address this challenge through 6 subprojects (Socialize, Match, Gamify, Foster, Scaffold and Evaluate), involving interdisciplinary research by scientists, artists, and social scientists from 8 provinces, in collaboration with 17 game and digital media companies, and a number of receptors. ","Regan Mandryk
University of Saskatchewan","Carman Neustaedter
Simon Fraser University ","Lee Vermeulen
Founder & CEO,
Alientrap Games","Entertainment","Learning
Healthcare
Sustainability
Big Data
Citizenship","COGS.pdf","SustThemeProposal.pdf"
"COLT","Computational Light Transport","Full Project","N/A","MEASURE","Modern day smartphones and digital cameras expose everyday users to high-quality 
photographic capture and editing, operations originally limited to only tech-savvy professionals. Photography relies fundamentally on the nature of light transport, a process that can be simulated to certain degrees in software e.g. such as in the authoring of visual effects for feature-films. We will develop more flexible and powerful imaging devices and algorithms to enhance the capture, editing and simulation of realistic illumination effects.","Eugene Fiume
University of Toronto","University of Montreal","Eric Bourque
Rendering Lead,
Autodesk","Entertainment","Learning
Healthcare
Sustainability
Big Data
Citizenship
Other
","COLT.pdf",
"COMMCAR","Exploring Caricature as a Property of Aesthetic Experience: 
Implications for Graphics and Infovis","Subproject",,"N/A","Our objective is to exploit the rich visual tradition of illustration and graphic arts to perceptually optimize data-driven visualizations, in order to highlight and effectively communicate the salient flow features, and their evolution over time, to non-expert users. ","Peter Coppin
University of Toronto","David Steinman
University of Toronto","Luke Moore
Director, Special Projects,
Side Effects Software","Learning

","Big Data
Entertainment
Work
Healthcare
Other","COMMCAR.pdf",
"COORDN8","Real-time Coordination in Simulation and Training Environments","Full Project","N/A",,"Ask your teenage son, if you have on - first-person shooter games are passé' unless your friends are online playing with you. But when video games are used to educate or train military or rescue personnel for hazardous missions, the multi-player game must be realistic. That means that, to succeed, players must be aware of each other's situations, players should be able to communicate quickly and naturally, and group activity must be tightly coordinated. This project will provide the technology to enable these. ","Gerald Penn
University of Toronto","Carl Gutwin
University of Saskatchewan","Ray Sharma
Founder & President,
XMG Studio Inc. ","Learning
","Entertainment
Healthcare
Big Data
Other","COORDN8.pdf",
"CPRM2","Confronting Pain Redefining Mobility 2.0","Full Project","N/A",,"Chronic Pain (CP) is a disease that affects an estimated 1 in 5 Canadians. An extraordinarily 
complex condition, CP is difficult for patients, their caregivers, & friends and family to manage, often leading to disability and enormous pressures on the Canadian healthcare system. By developing & testing tools for patients to self-manage their pain, and for doctors to diagnose CP earlier, CPRM2.0 hopes to help patients & their caregivers to better self-manage their pain, and potentially reduce the cost of CP on Canada.","Chris Shaw
Simon Fraser University, SIAT","Linda Li
University of British Columbia","Mary Lynch
President,
Canadian Pain Society","Healthcare","Entertainment
Learning
Big Data
Work
Citizenship","CPRM2.pdf",
