"SHORT NAME","FULL NAME","TYPE","FOR SUB-PROJECTS:  RELATED FULL LOIs [List separated by semicolon]","FOR FULL PROJECTS: RELATED SUB LOIs [List separated by semicolon]","PUBLIC DESCRIPTION","LEAD [FirstName LastName |separated by semicolon]","CO-LEAD [FirstName LastName |separated by semicolon]","CHAMPION [FirstName LastName, Profession, Organization |separated by semicolon]","PRIMARY CHALLENGE","SECONDARY CHALLENGE [List separated by semicolon]","LOI FILE","SUPPLEMENTAL"
"AVID","Aesthetics, Visualization, Interaction, and Design",,,"AVID; LPD; (COMMCAR)","In our data-driven society, decisions are increasingly informed by engagement with visualization. Moving beyond utilitarian concerns of efficiency and usability, this project will investigate the interplay between aesthetics and personalization, generating appealing new ways to visualize and interact with data. Drawing on a variety of aesthetic traditions and models of how people analyze data, we will re-imagine the visualization interface, enabling Canadians to be more imaginative, innovative, and connected.","Sheelagh Carpendale","Christopher Collins","Rock Leung, SAP","BIG DATA",,"AVID.pdf",
"BELIEVE","Believable Characters and Stories for Games and Simulations",,,"BELIEVE2","Our goal is to enable designers to create more believable scenarios and to create virtual characters that exhibit more believable behaviours in virtual worlds. Virtual worlds include video games, simulations, training and treatment environments. The quality of scenarios and virtual character behaviours has a huge impact on the quality of the user experience, when there is high reliance on avatar-virtual character interactions such as story-based games, or simulations / training / treatments that are based on relationships.","Duane Szafron","David Mould","Aaryn Flynn, BioWare","ENTERTAINMENT",,"BELIEVE.pdf",
"C-3PO","Customised Configuration and Context-dependent Performance Optimisation",,,"(CUSTOM); (MOBIS); (PROGRES)","Computation is the key to solving many of the grand challenges of our time, in areas such as healthcare decision support, planning and simulation. Much can be gained by customising hard- and software systems for optimised performance in specific situations by means of automated configuration. This project aims to develop core methods for such customization, and demonstrate their efficacy across a broad range of applications, including explicit memory management on highly parallel machines, treatment policies in healthcare, and large-scale parallel probabilistic and hierarchical planning for autonomous agents.","Martin Müller","Holger Hoos<br />Alexandra Fedorova","Mary Fenelon, IBM","OTHER",,"C-3PO.pdf",
"CHRONIC","CHRONIC",,,"CPRM2","Chronic Diseases such as Chronic Pain, Arthritis, and Diabetes require constant management by patients, caregivers, friends and family. By developing & testing tools for patients to self-manage their chronic disease, CHRONIC hopes to help patients & their caregivers to better manage their conditions and quality of life, and potentially reduce the cost of Chronic Diseases on Canada.","Chris Shaw","Linda Li","Kelly McQuillen, B.C. Ministry of Health","HEALTH",,"CHRONIC.pdf",
"CONNECT","Connecting and Learning through Social Play",,,"COGS","People spend a significant amount of time playing social games. The challenge we address in this project is: How can we leverage the motivational pull of social play to connect people, empower individuals, crowdsource work, gamify learning, and generate revenue? We address this challenge through 6 subprojects (Foster, Scaffold, Gamify, Socialize, Match, and Evaluate), involving research by scientists, artists, and social scientists from 8 provinces, in collaboration with 20 industry partners, and many receptors.","Regan Mandryk","Carman Neustaedter","Danny Robinson, Perch Communications","LEARNING",,"CONNECT.pdf",
"DATUM","Data- and User-driven Modelling of Visual Content",,,"COLT; DATUM; MEASURE","Visual content creation is in high demand in many application domains including education, design, manufacturing, entertainment, and health informatics. While it is relatively easy to aquire image/video/low-level 3D measurement data, it is difficult to generate application-specific digital models that are realistic, diverse (even creative), functional, and adaptable. In this project, we address the modeling challenge by developing novel approaches to data capture and data- and user-driven modeling, leveraging recent advances in data acquisition technology, knowledge-driven analysis, simulation, as well as the accelerated accumulation of ""big data''.","Pierre Poulin","Richard Zhang","Jos Stam, Autodesk Research","ENTERTAINMENT",,"DATUM.pdf",
"DIGHUM","Large Scale Digital Humanities",,,"HUMAN","Humanists ask about our values, the stories and the histories. The humanities curate and study the cultural record. This record is now being digitized and aggregated into large-scale archives which is changing everything from how we access our cultural heritage to what questions we can ask. The Big Humanities looks at the opportunities and challenges of the large scale of digital culture.","Michael Sinatra","Geoffrey Rockwell","James Chartrand, Open Sky Solutions","BIG DATA",,"DIGHUM.pdf",
"DISRUPT","Fabrication, Participation, Collaboration, and Research",,,"MAKE; SHARE; SYNTHO","Participatory Maker and DIY cultures are a disruptive force technologically and socially. DISRUPT tackles the opportunities and implications of participatory culture for GRAND-NCE partners in new media. We focus on the impact of participatory making that is related to 3D fabrication, collaboration, and organizational processes. We focus on cross-collaborations between GRAND researchers, Maker and DIY partners, and SMEs, non-profit, cultural, and professional organizations.","Ron Wakkary","Jeremy Cooperstock","Andrew Hunter, Art Gallery of Ontario","WORK",,"DISRUPT.pdf",
"ENGAGE","Educational Gains and Achievements on the Edge(s)",,,"ENGAGE","Educational systems worldwide are undergoing sometimes drastic change in order to attempt to meet the perceived needs of the 21st century learner. This project will contribute to knowledge about how and in what ways digital media can support the development of pedagogies and curriculum that are both ludic and educational. In addition we will study the processes by which marginalized and ‘on the edge’ groups are supported and encouraged in the move from consumers of digital media and technologies to creative producers in both formal classroom setting and informal learning environments.","Jennifer Jenson","Sean Gouglas","Brenda Gershkovitch, Silicon Sisters","LEARNING",,"ENGAGE.pdf",
"EXPERT","Becoming Expert: Providing Information Services, Simulations and Just-In-Time Tools to Scaffold Expert Performance",,,"COORDN8; EXPERT","EXPERT will develop tools and techniques that gather and distill web-based knowledge, organize and focus crowd-based resources, and enhance communication and awareness with other participants, to streamline user interfaces and simulations and empower us to operate software individually and collectively as experts.  We will evaluate these solutions with our industrial receptors in numerous civilian and military application domains.","Gerald Penn","Michael Terry","George Fitzmaurice, Autodesk","WORK",,"EXPERT.pdf",
"G4HLTH","Games for Health",,,"G4HLTH","Often, the things that make us healthy are tedious or intimidating, like carrying out daily rehabilitation exercises, being physically active, or engaging in the cognitive training that helps a child with autism regulate their moods. Video games can help by turning healthy activities into fun and engaging play. In this project, we will design and test video games for a wide range of healthcare issues such as stroke rehabilitation, anxiety and pain management, and social exercise for children with physical disabilities.","Nicholas Graham","Kevin Stanley","Corry Thomas, Holland Bloorview Kids Rehabilitation Hospital","HEALTH",,"G4HLTH.pdf",
"HLTHSIM.EDU","Simulator Design and Evaluation for Healthcare and Surgical Education",,,"ARSURG; HLTHSIM2; SYNTHH","The use of Graphics and New Media can be applied to the design of simulators for Healthcare Training; including the design and evaluation of surgical simulators -- ranging from VR and AR for basic skills training, to serious games for surgical reasoning and team-based training.","Roy Eagleson","Sidney Fels","Christopher Schlachta, CSTAR, LHSC","HEALTH",,"HLTHSIM.EDU.pdf",
