The Vibrochord - A Virbotactile Instrument,paper106.pdf,paper106.pdf,Branje Carmen,INCLUDE
Enabling the architectural designer to move within a graph of interconnected decisions,paper109.pdf,paper109.pdf,"Nathalie Charbonneau, Temy Tidafi, Salman Khalili-Araghi",ENCAD
Designing Natural User Interfaces to Support Usability and Intuitive Interaction,paper112.pdf,paper112.pdf,"Anna Macaranas, Alissa N. Antle, Bernhard E. Riecke",loi-DIGIKIDZ
Designing VivoSpace: A User-Centred Design Process Using the ABC Framework,paper125.pdf,paper125.pdf,"Noreen Kamal, Sidney Fels",NGAIA
Utilizing Gaze Data for Determining User Performance in an Interactive Simulation,paper116.pdf,paper116.pdf,"Samad Kardan, Cristina Conati",SIMUL
An Analysis of Attention to Student-Adaptive Hints in an Educational Game,paper129.pdf,paper129.pdf,"Mary Muir, Cristina Conati",AFEVAL
Networked Individuals,paper131.pdf,paper131.pdf,"Barry Wellman, Anabel Quan-Haase, Rhonda McEwen, Helen (Hua) Wang, Chang Z. Lin, Christian Beermann, Lilia Smale, Jennifer Kayahara",DINS
BELIEVE: Believable Characters and Stories in Video Games,paper130.pdf,paper130.pdf,"Adel Lari, Neesha Desai, Richard Zhao, Matt Church, Robin Miller, Jamie Schmitt, Eric Graves, Duane Szafron, Michael Carbonaro, Jonathan Schaeffer, Magy Seif El-Nasr, Michael Nixon, Daivd Mould, Andrew Erdeg",BELIEVE
Building Canada's Digital Infrastructure: The 700 MHz Spectrum Auction,paper133.pdf,paper133.pdf,"Gregory Taylor, Michael McNally, Catherine Middleton",DINS
Making the Heritage Passages Virtual Museum Exhibit and App:  A Postmortem,paper134.pdf,paper134.pdf,"Jennifer R. Whitson, Jessica Aldred, Trish Corrigan, Tom Everrett, Brian Greenspan, Phil Horwitz",PLAYPR
Eco-Calendar: Visualizing Home Energy on a Calendar,paper132.pdf,paper132.pdf,"Dandan Huang, Melanie Tory, Lyn Bartram, Carman Neustaedter, Aaron Mah",HCTSL
AdaptableGIMP: Designing a Socially Adaptable Interface,paper123.pdf,paper123.pdf,"Ben Lafreniere, Andrea Bunt, Matthew Lount, Filip Krynicki, Michael Terry",PERUI
Ethereal - Tangible and tactile voice interface for the iPad : a PLAYPR project,paper127.pdf,paper127.pdf,"Ian Arawjo, Bronson Zgeb, Jonathan Llewellyn, Mohannad Al-Khatib, Joachim Despland, Jean-Francois Bourbeau, Saleem Dabbous, Francois-Xavier Dupas, Jason Camlot, Stéphanie Bouchard, Taylan Ülger",PLAYPR
Occlusion Vectors for Visibility Computations,paper137.pdf,paper137.pdf,"Dorian Gomez, Pierre Poulin, Mathias Paulin",PROMO
Interactive DEVS-based Building Information Modeling & Simulation for Emergency Evacuation,paper121.pdf,paper121.pdf,"Sixuan Wang, Michael Van Schyndel, Vinu Subashini, Gabriel Wainer, Robert Woodbury",ENCAD
Integrating Biofeedback for Increasing Attention in Cognitive Games,paper138.pdf,paper138.pdf,"Jason Cummer, David Bartle, Bruce Gooch, Kimberly Kerns, Tim Jordison, Angela Yeske",NEUROGAM
Turbulent Times: Forging a Copyright Policy the University Can Live With,paper139.pdf,paper139.pdf,Lisa Macklem,DIGILAB
Visualizing Public Engagement on Twitter for Sustainability,paper141.pdf,paper141.pdf,Karen Quinn Fung,GRNCITY
On the performance of UCT in synthetic game trees,paper142.pdf,paper142.pdf,"John Peters, Michael Buro",MCSIG
Touch-based interaction with pCubee,paper143.pdf,paper143.pdf,"Yichen Tang, Billy Lam, Ian Stavness, Sidney Fels",VIRTPRES
Software and Hardware Co-Design for eBook Glasses,paper124.pdf,paper124.pdf,"Piper Gordon, Graeme Gordon, Bruce Gooch, Jason Cummer",PLATFORM
Bridging Design Theories and Practice: A Card-based Design Tool for Designing Tangible Learning Games,paper140.pdf,paper140.pdf,"Ying Deng, Alissa Antle, Carman Neustaedter",DIGILT
Sound Tonic: A Receptive Method for Managing Pain through Interactive Sound Design,paper146.pdf,paper146.pdf,"Mehdi Mark Nazemi, Diane Gromala",CPRM
